Синоптический_индекс_станции,Локация,Широта,Долгота,Подъем,Дата_по_Гринвичу,Сумма_осадков,Средняя_температура
20046,"Им.Э.Т.Кренкеля,ГМО",80.6,58,21,1981-11-21T03:00:00Z,22.7,-8.95
20046,"Им.Э.Т.Кренкеля,ГМО",80.6,58,21,1989-11-17T06:00:00Z,33.6,-17.650000000000002
20046,"Им.Э.Т.Кренкеля,ГМО",80.6,58,21,1992-02-06T18:00:00Z,21.2,-16.4
20046,"Им.Э.Т.Кренкеля,ГМО",80.6,58,21,2004-12-15T18:00:00Z,44.9,-9.65
20046,"Им.Э.Т.Кренкеля,ГМО",80.6,58,21,2007-11-21T18:00:00Z,21.1,-8.45
20046,"Им.Э.Т.Кренкеля,ГМО",80.6,58,21,2007-11-23T06:00:00Z,23.1,-6.875
20046,"Им.Э.Т.Кренкеля,ГМО",80.6,58,21,2007-12-13T18:00:00Z,28.9,-15.850000000000001
20046,"Им.Э.Т.Кренкеля,ГМО",80.6,58,21,2007-12-14T06:00:00Z,24.4,-15.15
20046,"Им.Э.Т.Кренкеля,ГМО",80.6,58,21,2007-12-24T06:00:00Z,26.2,-19.775
20046,"Им.Э.Т.Кренкеля,ГМО",80.6,58,21,2007-12-24T18:00:00Z,46.8,-15.6
20046,"Им.Э.Т.Кренкеля,ГМО",80.6,58,21,2007-12-25T06:00:00Z,23.5,-7.225
20046,"Им.Э.Т.Кренкеля,ГМО",80.6,58,21,2008-02-10T18:00:00Z,35.3,-12
20046,"Им.Э.Т.Кренкеля,ГМО",80.6,58,21,2008-02-11T06:00:00Z,36.2,-6.725
20046,"Им.Э.Т.Кренкеля,ГМО",80.6,58,21,2008-03-29T18:00:00Z,21.3,-16.825
20046,"Им.Э.Т.Кренкеля,ГМО",80.6,58,21,2011-02-22T18:00:00Z,22.6,-29.45
20046,"Им.Э.Т.Кренкеля,ГМО",80.6,58,21,2011-02-26T06:00:00Z,34.2,-11.95
20046,"Им.Э.Т.Кренкеля,ГМО",80.6,58,21,2011-02-26T18:00:00Z,27,-6.824999999999999
20087,Голомянный,79.55,90.62,7,2010-01-21T03:00:00Z,23.4,-21.275
20107,Баренцбург,78.07,14.25,73,1978-03-19T09:00:00Z,23.9,-8.525
20107,Баренцбург,78.07,14.25,73,1979-05-27T15:00:00Z,20.6,-3.375
20107,Баренцбург,78.07,14.25,73,1981-12-21T21:00:00Z,25.9,-7.5
20107,Баренцбург,78.07,14.25,73,1982-04-05T09:00:00Z,20,-9.3
20107,Баренцбург,78.07,14.25,73,1982-04-06T09:00:00Z,37.7,-7.1
20107,Баренцбург,78.07,14.25,73,1986-03-16T09:00:00Z,22.2,-3.425
20107,Баренцбург,78.07,14.25,73,1992-01-19T18:00:00Z,26.599999999999998,-6.2
20107,Баренцбург,78.07,14.25,73,1999-10-16T18:00:00Z,27,-2.1
20107,Баренцбург,78.07,14.25,73,2001-11-20T15:00:00Z,23.2,-2.075
20107,Баренцбург,78.07,14.25,73,2002-12-02T21:00:00Z,20.2,-5.65
20107,Баренцбург,78.07,14.25,73,2003-03-20T18:00:00Z,42.5,-7.375
20107,Баренцбург,78.07,14.25,73,2013-11-15T06:00:00Z,23.6,-1.075
20107,Баренцбург,78.07,14.25,73,2015-10-23T09:00:00Z,22,-1.75
20107,Баренцбург,78.07,14.25,73,2016-03-14T18:00:00Z,24,-1.725
20476,Стерлегова,75.42,88.9,10,2008-02-12T15:00:00Z,21.9,-25.45
20476,Стерлегова,75.42,88.9,10,2008-03-27T15:00:00Z,25.5,-11.325
20476,Стерлегова,75.42,88.9,10,2009-01-13T03:00:00Z,35.2,-18.875
20476,Стерлегова,75.42,88.9,10,2015-12-22T15:00:00Z,26.2,-19.225
20667,Им.М.В.Попова,73.33,70.05,4,2003-03-22T06:00:00Z,21.2,-4.675
30554,Багдарин,54.47,113.58,901,1977-04-04T15:00:00Z,24.5,-7.275
30554,Багдарин,54.47,113.58,901,1990-03-02T12:00:00Z,518.3,-76.1
30554,Багдарин,54.47,113.58,901,1990-03-03T09:00:00Z,1132.7,-38.4
30554,Багдарин,54.47,113.58,901,1990-03-03T15:00:00Z,723.1,-88.9
30554,Багдарин,54.47,113.58,901,1990-03-04T00:00:00Z,415.9,-24.9
30554,Багдарин,54.47,113.58,901,1990-03-04T06:00:00Z,1132.7,-12.8
30554,Багдарин,54.47,113.58,901,1990-03-05T00:00:00Z,415.9,-50.5
30554,Багдарин,54.47,113.58,901,1990-03-05T12:00:00Z,620.7,-89.6
30554,Багдарин,54.47,113.58,901,1990-03-06T09:00:00Z,518.3,-51.2
30554,Багдарин,54.47,113.58,901,1994-04-21T06:00:00Z,25.5,-1.125
30555,Троицкий_прииск,54.6,113.1,1315,1985-09-08T00:00:00Z,25.8,-0.275
30565,Усть-Каренга,54.4,116.5,686,1984-04-19T18:00:00Z,22.8,-4.1
30635,Усть-Баргузин,53.42,109.02,459,1987-05-07T00:00:00Z,3289.4,-46.93333333333333
30635,Усть-Баргузин,53.42,109.02,459,1987-05-07T15:00:00Z,518.3,-51.2
30635,Усть-Баргузин,53.42,109.02,459,1987-05-08T15:00:00Z,1554.8999999999999,-46.46666666666667
30635,Усть-Баргузин,53.42,109.02,459,1987-05-09T03:00:00Z,2060.6,-38.4
30635,Усть-Баргузин,53.42,109.02,459,1987-05-09T15:00:00Z,415.9,-76.8
30635,Усть-Баргузин,53.42,109.02,459,1987-05-09T21:00:00Z,313.5,-50.5
30635,Усть-Баргузин,53.42,109.02,459,1987-05-10T09:00:00Z,1753.4,-44.8
30635,Усть-Баргузин,53.42,109.02,459,1987-05-10T21:00:00Z,3295.7,-42.666666666666664
30635,Усть-Баргузин,53.42,109.02,459,1987-05-11T12:00:00Z,620.7,-38.4
30635,Усть-Баргузин,53.42,109.02,459,1990-02-13T12:00:00Z,518.3,-76.1
30635,Усть-Баргузин,53.42,109.02,459,1990-02-13T18:00:00Z,415.9,-37.7
30635,Усть-Баргузин,53.42,109.02,459,1990-02-14T12:00:00Z,422.2,-56.9
30635,Усть-Баргузин,53.42,109.02,459,1990-02-14T21:00:00Z,831.8000000000001,-50.5
30635,Усть-Баргузин,53.42,109.02,459,1990-02-15T09:00:00Z,620.7,-50.5
30635,Усть-Баргузин,53.42,109.02,459,1999-11-23T15:00:00Z,21.3,-16.225
30636,Баргузин,53.6,109.6,488,1987-07-09T18:00:00Z,211.1,-76.8
30636,Баргузин,53.6,109.6,488,1987-07-10T09:00:00Z,825.5,-89.6
30673,Могоча,53.75,119.73,624,1987-10-14T15:00:00Z,934.2,-51.2
30673,Могоча,53.75,119.73,624,1987-10-15T00:00:00Z,415.9,-24.9
30673,Могоча,53.75,119.73,624,1987-10-15T09:00:00Z,1139,-51.199999999999996
30673,Могоча,53.75,119.73,624,1987-10-15T21:00:00Z,627,-50.5
30673,Могоча,53.75,119.73,624,1987-10-16T06:00:00Z,723.1,-76.8
30673,Могоча,53.75,119.73,624,1987-10-16T12:00:00Z,415.9,-15.775
30692,Сковородино,54,123.97,397,2010-10-09T12:00:00Z,20.3,-2.175
30703,Инга,52.97,101.98,541,2011-04-28T18:00:00Z,21.1,-0.975
30710,Иркутск,52.27,104.35,467,2011-04-29T00:00:00Z,21.8,-0.4
30710,Иркутск,52.27,104.35,467,2011-10-31T09:00:00Z,20.2,-1.45
30745,Сосново-Озерское,52.53,111.55,952,1993-04-20T15:00:00Z,20.3,-1.275
30815,Хамар-Дабан,51.53,103.6,1442,1979-05-02T15:00:00Z,21.7,-4.05
30815,Хамар-Дабан,51.53,103.6,1442,1979-05-06T15:00:00Z,20.6,-1.3499999999999999
30815,Хамар-Дабан,51.53,103.6,1442,1980-05-29T15:00:00Z,26.6,-0.975
30815,Хамар-Дабан,51.53,103.6,1442,1980-09-09T21:00:00Z,37.9,-0.39999999999999997
30815,Хамар-Дабан,51.53,103.6,1442,1981-04-26T00:00:00Z,26,-2.1666666666666665
30815,Хамар-Дабан,51.53,103.6,1442,1981-05-08T18:00:00Z,20.1,-2.025
30815,Хамар-Дабан,51.53,103.6,1442,1981-09-24T21:00:00Z,20.3,-2.925
30815,Хамар-Дабан,51.53,103.6,1442,1982-04-30T21:00:00Z,21.1,-2.15
30815,Хамар-Дабан,51.53,103.6,1442,1983-09-12T00:00:00Z,26.2,-0.2
30815,Хамар-Дабан,51.53,103.6,1442,1983-09-21T06:00:00Z,25.3,-1.75
30815,Хамар-Дабан,51.53,103.6,1442,1983-10-02T18:00:00Z,22.9,-1.925
30815,Хамар-Дабан,51.53,103.6,1442,1984-06-07T00:00:00Z,28.2,-0.2
30815,Хамар-Дабан,51.53,103.6,1442,1984-09-21T18:00:00Z,40.2,-1.775
30815,Хамар-Дабан,51.53,103.6,1442,1985-04-18T21:00:00Z,20.4,-2.05
30815,Хамар-Дабан,51.53,103.6,1442,1985-09-13T00:00:00Z,24.7,-0.6
30815,Хамар-Дабан,51.53,103.6,1442,1985-10-09T03:00:00Z,28.5,-2.425
30815,Хамар-Дабан,51.53,103.6,1442,1986-09-13T21:00:00Z,22.4,-0.725
30815,Хамар-Дабан,51.53,103.6,1442,1987-06-08T09:00:00Z,29.7,-0.575
30815,Хамар-Дабан,51.53,103.6,1442,1987-10-04T15:00:00Z,23.9,-5.325
30815,Хамар-Дабан,51.53,103.6,1442,1988-05-07T21:00:00Z,25.2,-0.75
30815,Хамар-Дабан,51.53,103.6,1442,1988-05-08T09:00:00Z,41.6,-1.425
30815,Хамар-Дабан,51.53,103.6,1442,1988-10-09T15:00:00Z,22.1,-3.05
30815,Хамар-Дабан,51.53,103.6,1442,1989-09-22T00:00:00Z,36.8,-3.975
30815,Хамар-Дабан,51.53,103.6,1442,1990-04-29T15:00:00Z,23.6,-3.8000000000000003
30815,Хамар-Дабан,51.53,103.6,1442,1990-05-08T21:00:00Z,21.4,-2.966666666666667
30815,Хамар-Дабан,51.53,103.6,1442,1990-09-27T12:00:00Z,22.1,-1.375
30815,Хамар-Дабан,51.53,103.6,1442,1991-09-24T12:00:00Z,20.2,-1.7
30815,Хамар-Дабан,51.53,103.6,1442,1992-09-03T15:00:00Z,40.9,-1.55
30815,Хамар-Дабан,51.53,103.6,1442,1992-09-04T03:00:00Z,21.8,-1.725
30815,Хамар-Дабан,51.53,103.6,1442,1993-09-15T06:00:00Z,31.7,-0.5
30815,Хамар-Дабан,51.53,103.6,1442,1994-04-29T15:00:00Z,21.1,-3.125
30815,Хамар-Дабан,51.53,103.6,1442,1994-05-18T09:00:00Z,26.7,-2.3249999999999997
30815,Хамар-Дабан,51.53,103.6,1442,1994-05-23T03:00:00Z,32.9,-1
30815,Хамар-Дабан,51.53,103.6,1442,1994-10-13T15:00:00Z,28,-5.4
30815,Хамар-Дабан,51.53,103.6,1442,1995-04-19T15:00:00Z,24.3,-5.575
